擔保品細項,細項名稱,建物分類,建物用途,EUI,EUI_Cold-dry,EUI_Cold-humid,EUI_Hot-dry,EUI_Hot-humid,EUI_Hot-marine,EUI_Mixed-dry,EUI_Mixed-humid,EUI_Mixed-marine
28,公用事業設施,公共服務設施,郵寄中心/郵局,151.1,126.32,170.91,87.11,141.16,296.19,149.85,151.86,85.45
28,公用事業設施,公共服務設施,交通運輸轉運站,177.29,148.2,200.52,102.2,165.62,347.51,175.82,178.17,100.26
28,公用事業設施,公有設施,飲用水處理,7.26,6.07,8.21,4.18,6.78,14.22,7.2,7.29,4.1
29,電廠,全部平均,全部平均,126.5,105.75,143.08,72.92,118.17,247.96,125.45,127.13,71.54
29,電廠,公有設施,能源/發電站,126.5,105.75,143.08,72.92,118.17,247.96,125.45,127.13,71.54
30,純建物(住宅),全部平均,全部平均,,,,,,,,,
31,純建物(商業),全部平均,全部平均,273.14,229.05,311.19,161.48,247.65,513.12,274.59,294.94,153.11
31,純建物(商業),銀行/金融服務,銀行分行,278.55,232.85,315.05,160.58,260.21,546.0,276.24,279.93,157.53
31,純建物(商業),銀行/金融服務,金融辦公室,166.88,139.5,188.75,96.2,155.89,327.1,165.5,167.71,94.37
31,純建物(商業),教育,大學/學院,265.93,222.31,300.78,153.31,248.42,521.26,263.73,267.25,150.39
31,純建物(商業),教育,K-12學校,153.0,127.9,173.05,88.2,142.92,299.9,151.73,153.76,86.52
31,純建物(商業),教育,幼兒園/日托,204.42,170.88,231.21,117.84,190.96,400.69,202.72,205.43,115.6
31,純建物(商業),教育,職業學校/成人教育,165.3,138.18,186.96,95.29,154.42,324.01,163.93,166.12,93.48
31,純建物(商業),公眾集會,會議中心/會議廳,176.97,147.94,200.16,102.02,165.32,346.89,175.51,177.85,100.08
31,純建物(商業),公眾集會,休閒/運動中心,160.25,133.96,181.25,92.38,149.7,314.12,158.93,161.05,90.63
31,純建物(商業),公眾集會,娛樂場所,177.29,148.2,200.52,102.2,165.62,347.51,175.82,178.17,100.26
31,純建物(商業),公眾集會,宗教設施,96.21,80.43,108.82,55.47,89.88,188.6,95.42,96.69,54.41
31,純建物(商業),食品銷售服務,便利商店,729.97,610.22,825.63,420.82,681.91,1430.85,723.93,733.6,412.82
31,純建物(商業),食品銷售服務,酒吧/夜總會,412.3,344.67,466.34,237.69,385.16,808.18,408.89,414.35,233.17
31,純建物(商業),食品銷售服務,快餐店,1270.35,1061.95,1436.83,732.34,1186.72,2490.08,1259.84,1276.66,718.41
31,純建物(商業),食品銷售服務,餐廳,1027.13,858.63,1161.74,592.13,959.51,2013.33,1018.63,1032.24,580.87
